day,symbol,avg_entity_sentiment,avg_event_sentiment,avg_story_traffic,avg_event_relevance
2013-10-12T00:00:00.000-04,AAPL,-18.4462,-18.4485,125984881,85.4769
2013-10-13T00:00:00.000-04,AAPL,28.3273,28.3455,1818345366,74.1182
2013-10-14T00:00:00.000-04,AAPL,26.1049,25.248,112698599,82.7878
2013-10-15T00:00:00.000-04,AAPL,21.55,21.7852,398218861.1,81.9685
2013-10-16T00:00:00.000-04,AAPL,3.7667,3.8942,97059447.69,78.6792
2013-10-17T00:00:00.000-04,AAPL,18.4617,17.6168,92352758.21,77.9809
2013-10-18T00:00:00.000-04,AAPL,-2.8783,-1.7304,16383025,78.3217
2013-10-19T00:00:00.000-04,AAPL,31.9438,34.4294,242370621.8,68.2562
2013-10-20T00:00:00.000-04,AAPL,18.5273,18.2164,637338820.6,73.8273
2013-10-21T00:00:00.000-04,AAPL,1.1211,1.2171,1072129113,62.025
2013-10-22T00:00:00.000-04,AAPL,15.2711,15.6215,317855728.1,72.3175
2013-10-23T00:00:00.000-04,AAPL,19.8721,19.4224,116762029.6,79.0412
2013-10-24T00:00:00.000-04,AAPL,1.6621,1.1056,519629232.4,76.3924
2013-10-25T00:00:00.000-04,AAPL,8.7957,8.9657,1634333935,83.1757
2013-10-26T00:00:00.000-04,AAPL,15.0091,14.8136,291190931.2,87.2932
2013-10-27T00:00:00.000-04,AAPL,5.95,6.4519,307526861,88.5938
2013-10-28T00:00:00.000-04,AAPL,20.6506,21.5028,121203503.8,87.7012
2013-10-29T00:00:00.000-04,AAPL,9.4849,9.4158,942556029.7,84.143
2013-10-30T00:00:00.000-04,AAPL,29.806,30.4024,279134421.2,81.269
2013-10-31T00:00:00.000-04,AAPL,7.7273,8.1602,413837290.8,78.4818
2013-11-01T00:00:00.000-04,AAPL,5.3944,5.0222,482458167.9,78.7194
2013-11-02T00:00:00.000-04,AAPL,7,7.0444,509483229,88.8111
2013-11-03T00:00:00.000-04,AAPL,-11.1909,-11.5055,197757077.6,83.6545
2013-11-04T00:00:00.000-05,AAPL,21.3903,20.9161,68833198.1,76.7194
2013-11-05T00:00:00.000-05,AAPL,28.3755,29.7424,80774901.86,76.202
2013-11-06T00:00:00.000-05,AAPL,33.3691,33.1,1066392862,70.2441
2013-11-07T00:00:00.000-05,AAPL,22.869,23.6281,666765242,69.4524
